C(at%),Al(at%),V(at%),Cr(at%),Mn(at%),Fe(at%),Co(at%),Ni(at%),Cu(at%),Mo(at%),check_100,G_RT_FCC,H_RT_FCC,phase_fraction_fcc,phase_fraction_bcc,second_phase_fraction,Config_Entropy,(0-T)*Entropy,melting point(C),grain(um),Anneal_Temp(K),Anneal_Time(h),R(%),CR(%),Hom_Temp(K),Enthalpy_FCC
0,5.556,5.556,22.222,5.556,16.667,16.667,16.667,5.556,5.556,100.003,-10687.186,3312.686,0.428,0.421,0.151,16.9028,-5037.0253,1589.838608,12.8914,1253,1,25,0,1423,-10704.0888
0,5.882,0,23.529,5.882,17.647,17.647,17.647,5.882,5.882,99.998,-11247.586,2287.795,0.397,0.581,0.022,16.0076,-4770.2655,1570.928516,12.8914,823,0.1167,92,90,0,-11263.5936
0,5.882,5.882,17.647,5.882,17.647,17.647,17.647,5.882,5.882,99.998,-11311.154,2270.28,0.395,0.584,0.021,17.1076,-5098.0708,1571.104976,12.8914,1148,0.1667,10,87,0,-11328.2616
0,5.882,5.882,23.529,0,17.647,17.647,17.647,5.882,5.882,99.998,-10985.521,1402.843,0.367,0.633,0,16.0076,-4770.2655,1609.984996,12.8914,873,96,87,3,1523,-11001.5286
0,5.882,5.882,23.529,5.882,11.765,17.647,17.647,5.882,5.882,99.998,-10913.993,1513.622,0.393,0.607,0,16.9415,-5048.5546,1592.809556,12.8914,773,16,0,0,1473,-10930.9345
0,5.882,5.882,23.529,5.882,17.647,11.765,17.647,5.882,5.882,99.998,-11275.825,2241.634,0.39,0.61,0,16.9415,-5048.5546,1595.338816,12.8914,1173,5,70,45,1323,-11292.7665
0,5.882,5.882,23.529,5.882,17.647,17.647,11.765,5.882,5.882,99.998,-11395.345,2151.153,0.322,0.668,0.01,16.9415,-5048.5546,1597.691616,12.8914,773,0.0833,70,95,0,-11412.2865
0,5.882,5.882,23.529,5.882,17.647,17.647,17.647,0,5.882,99.998,-10345.709,972.437,0.378,0.622,0,16.0076,-4770.2655,1619.455016,12.8914,673,2,88,50,1323,-10361.7166
0,5.882,5.882,23.529,5.882,17.647,17.647,17.647,5.882,0,99.998,-11281.425,2292.93,0.383,0.595,0.022,16.0076,-4770.2655,1528.989856,12.8914,1373,36,93,5,1493,-11297.4326
0,6.25,0,18.75,6.25,18.75,18.75,18.75,6.25,6.25,100,-11270.218,2306.525,0.432,0.547,0.021,16.2009,-4827.8699,1549.95625,12.8914,673,96,95,20,1073,-11286.4189
0,6.25,0,25,0,18.75,18.75,18.75,6.25,6.25,100,-10977.88,1400.793,0.394,0.606,0,15.0321,-4479.5634,1591.26875,12.8914,1253,5,30,60,1073,-10992.9121
0,6.25,0,25,6.25,12.5,18.75,18.75,6.25,6.25,100,-10925.152,1570.092,0.421,0.579,0,16.0243,-4775.2528,1573.01875,12.8914,1523,4,30,70,1273,-10941.1763
0,6.25,0,25,6.25,18.75,12.5,18.75,6.25,6.25,100,-11241.831,2272.209,0.425,0.575,0,16.0243,-4775.2528,1575.70625,12.8914,1523,0.1667,90,10,1423,-11257.8553
0,6.25,0,25,6.25,18.75,18.75,12.5,6.25,6.25,100,-11362.057,2189.062,0.353,0.637,0.01,16.0243,-4775.2528,1578.20625,12.8914,973,50,60,93,1473,-11378.0813
0,6.25,0,25,6.25,18.75,18.75,18.75,0,6.25,100,-10557.979,2339.474,0.41,0.59,0,15.0321,-4479.5634,1601.33125,12.8914,923,50,79,65,1573,-10573.0111
0,6.25,0,25,6.25,18.75,18.75,18.75,6.25,0,100,-10478.811,967.985,0.461,0.539,0,15.0321,-4479.5634,1505.20625,12.8914,1023,0.375,91,67,1173,-10493.8431
0,6.25,6.25,12.5,6.25,18.75,18.75,18.75,6.25,6.25,100,-11342.73,2284.53,0.429,0.551,0.02,17.1932,-5123.5592,1550.14375,12.8914,1073,0.25,96,93,1423,-11359.9232
0,6.25,6.25,18.75,0,18.75,18.75,18.75,6.25,6.25,100,-11009.103,1412.882,0.395,0.605,0,16.2009,-4827.8699,1591.45625,12.8914,1173,10,78,95,1273,-11025.3039
0,6.25,6.25,18.75,6.25,12.5,18.75,18.75,6.25,6.25,100,-10990.911,1704.077,0.416,0.581,0.003,17.1932,-5123.5592,1573.20625,12.8914,0,10,91,60,1473,-11008.1042
0,6.25,6.25,18.75,6.25,18.75,12.5,18.75,6.25,6.25,100,-11305.486,2254.183,0.423,0.577,0,17.1932,-5123.5592,1575.89375,12.8914,1073,6,78,5,1423,-11322.6792
0,6.25,6.25,18.75,6.25,18.75,18.75,12.5,6.25,6.25,100,-11425.05,2171.697,0.351,0.64,0.009,17.1932,-5123.5592,1578.39375,12.8914,1148,0.0833,67,70,0,-11442.2432
0,6.25,6.25,18.75,6.25,18.75,18.75,18.75,0,6.25,100,-10343.077,968.189,0.407,0.592,0,16.2009,-4827.8699,1601.51875,12.8914,873,20,0,87,1173,-10359.2779
0,6.25,6.25,18.75,6.25,18.75,18.75,18.75,6.25,0,100,-11308.741,2314.713,0.416,0.563,0.021,16.2009,-4827.8699,1505.39375,12.8914,1023,0.1167,86,40,1473,-11324.9419
0,6.25,6.25,25,0,12.5,18.75,18.75,6.25,6.25,100,-10891.569,1378.463,0.421,0.579,0,16.0243,-4775.2528,1614.51875,12.8914,823,0.05,92,40,1073,-10907.5933
0,6.25,6.25,25,0,18.75,12.5,18.75,6.25,6.25,100,-11028.105,1796.047,0.373,0.627,0,16.0243,-4775.2528,1617.20625,12.8914,0,36,65,25,1523,-11044.1293
0,6.25,6.25,25,0,18.75,18.75,12.5,6.25,6.25,100,-11129.29,1789.951,0.306,0.68,0.014,16.0243,-4775.2528,1619.70625,12.8914,1173,25,60,93,1073,-11145.3143
0,6.25,6.25,25,0,18.75,18.75,18.75,0,6.25,100,-10377.316,1086.711,0.37,0.63,0,15.0321,-4479.5634,1642.83125,12.8914,923,0.25,92,60,1373,-10392.3481
0,6.25,6.25,25,0,18.75,18.75,18.75,6.25,0,100,-10678.866,1095.856,0.415,0.585,0,15.0321,-4479.5634,1546.70625,12.8914,923,20,20,0,1423,-10693.8981
0,6.25,6.25,25,6.25,6.25,18.75,18.75,6.25,6.25,100,-10783.304,1440.935,0.458,0.542,0,16.7447,-4989.918,1596.26875,12.8914,1148,0.375,95,67,1423,-10800.0487
0,6.25,6.25,25,6.25,12.5,12.5,18.75,6.25,6.25,100,-11349.172,2194.194,0.443,0.557,0,17.0166,-5070.9421,1598.95625,12.8914,923,0.3333,90,40,1493,-11366.1886
0,6.25,6.25,25,6.25,12.5,18.75,18.75,0,6.25,100,-10311.629,984.21,0.429,0.571,0,16.0243,-4775.2528,1624.58125,12.8914,1423,2,50,86,1273,-10327.6533
0,6.25,6.25,25,6.25,12.5,18.75,18.75,6.25,0,100,-10986.068,1704.201,0.4,0.594,0.006,16.0243,-4775.2528,1528.45625,12.8914,873,0.0833,85,86,1173,-11002.0923
0,6.25,6.25,25,6.25,18.75,6.25,18.75,6.25,6.25,100,-11254.437,2211.921,0.412,0.588,0,16.7447,-4989.918,1601.64375,12.8914,948,0.0833,64,60,1373,-11271.1817
0,6.25,6.25,25,6.25,18.75,12.5,12.5,6.25,6.25,100,-11399.126,2128.012,0.342,0.658,0,17.0166,-5070.9421,1604.14375,12.8914,1253,0.1167,65,20,1073,-11416.1426
